User;Role;h-index;Followers/Following;log_followers;Ratio RT_in;Ratio_RT_out;Ratio Reply_out;Frequency;Ratio multimedia;Ratio URL;Ratio HT
CristinaLopezSe;Retuiteador;8;1,010050251;2;2,732142857;0,773279352;0,064777328;1,573248408;0,109311741;0,24291498;0,518218623
slealm;Altavoz bajo;11;1,008997764;4;3,613908873;0,767688022;0,040668524;4,263657957;0,027855153;0,272980501;1,433426184
IzaskunLacunza;Altavoz bajo;16;1,005698006;3;4,050970874;0,603082852;0,095375723;1,645007924;0,052986513;0,413294798;0,801541426
oraflav;Retuiteador;4;1;2;0,744680851;0,660649819;0,104693141;1,859060403;0,202166065;0,335740072;0,740072202
menxuslerenxus;Monologista;4;0,997183099;2;0,074213836;0,165792235;0,375655824;2,279904306;0,058761805;0,269674711;0,165792235
lagafa;Networker;10;0,988439306;2;0,692307692;0,319503684;0,294300116;2,211835334;0,13648701;0,243117487;0,554090733
spatogon;Monologista;4;0,987341772;2;0,210708117;0,425024826;0,15590864;2,067761807;0,115193644;0,271102284;0,733862959
ngc1569;Retuiteador;3;0,960033306;3;0,121687929;0,683834936;0,292894818;46,04285714;0,09742476;0,125659324;0,101768539
itziarl;Monologista;5;0,958333333;2;0,185606061;0,220088626;0,423929099;1,870165746;0,225997046;0,227474151;0,542097489
Miripi;Monologista;5;0,956521739;2;0,214285714;0,318791946;0,28942953;3,03307888;0,203020134;0,253355705;0,23909396
unintendedbear;Networker;6;0,948232323;2;16,47454844;0,249769018;0,432091161;3,775581395;0,303048968;0,307668617;0,15645211
NuriaStatgirl;Retuiteador;11;0,946619217;3;1,234875445;0,718154463;0,102808425;3,221324717;0,106820461;0,240722166;0,445837513
asct;Replicador;1;0,934579439;2;0,003367003;0,131578947;0,666666667;2,206451613;0,043859649;0,093567251;0,114035088
LadyHGM;Retuiteador;4;0,906040268;2;1,189189189;0,940609952;0,016051364;2,097643098;0,107544141;0,495987159;1,935794543
MariaPereda_;Networker;9;0,905540418;2;0,410543131;0,415863142;0,252877138;2,272084806;0,119751166;0,327838258;0,367029549
lopezg_patricia;Retuiteador;9;0,897475134;3;0,621863799;0,652011225;0,176177113;3,531938326;0,081384471;0,426566885;0,507951356
eli_vivas;Retuiteador;9;0,896103896;3;1,276816609;0,638297872;0,216520651;2,884476534;0,048811014;0,215269086;0,506883605
ElisaKamp;Monologista;1;0,888888889;1;0,085106383;0,356164384;0,575342466;2,085714286;0,082191781;0,205479452;0,452054795
ArantxaVizcarro;Retuiteador;3;0,888238736;3;0,084153984;0,651699408;0,258808856;5,426395939;0,057374493;0,242594325;0,159338946
ladyCircus;Normal;5;0,887573964;2;0,37751004;0,580808081;0,31986532;1,993288591;0,198653199;0,193602694;0,164983165
_mariaisla;Retuiteador;7;0,886380737;3;0,650246305;0,619017829;0,069752893;2,836734694;0,100406631;0,408507976;1,148889584
cristcs;Monologista;3;0,88590604;2;0,036743516;0,258942872;0,458088628;2,392081737;0,026695141;0,127068873;0,174052322
atuncontomate;Monologista;4;0,873170732;2;0,18438914;0,413987405;0,358634405;3,279347826;0,141862778;0,125621478;0,210473981
gemalm;Monologista;4;0,854130053;2;0,044825073;0,141695339;0,331248045;2,49375975;0,015326869;0,265874257;0,313731623
claragvinola;Networker;5;0,852739726;2;0,350769231;0,36023622;0,209645669;1,704697987;0,183070866;0,222440945;0,522637795
es_rebollar;Retuiteador;6;0,836633663;2;1,675675676;0,895480226;0,018832392;2,354767184;0,074387947;0,153483992;0,585687382
Aurora_Barrero;Retuiteador;15;0,828372388;3;2,161705551;0,61289318;0,089691685;3,052281369;0,183120523;0,345063843;1,13266895
sruedapascual;Retuiteador;8;0,815361891;3;0,806382979;0,855739718;0,114180479;14,48;0,042050338;0,130448128;0,426335175
WonderMariajo;Monologista;4;0,809375;2;0,123491179;0,219565217;0,395652174;7,076923077;0,20942029;0,334782609;0,080434783
sharem;Retuiteador;3;0,803858521;2;16,77437326;0,764048636;0,105159382;3,701946472;0,386132106;0,172198488;0,265198817
smpolanco;Retuiteador;4;0,793650794;2;1,245454545;0,804270463;0,033807829;1,836601307;0,185053381;0,263345196;0,576512456
Sara_Subidon;Retuiteador;6;0,792;2;0,582056893;0,635566188;0,135566188;1,637075718;0,25199362;0,211323764;0,474481659
C_AguilarGarcia;Networker;13;0,791572611;3;1,026415094;0,320076972;0,16933932;1,765571914;0,07248236;0,599743425;0,525978191
soyamp;Replicador;4;0,790977444;2;0,038311181;0,215337423;0,753680982;11,8115942;0,03803681;0,167484663;0,056441718
AceptaCookies;Networker;7;0,780952381;2;0,734417344;0,528735632;0,214559387;1,816705336;0,090676884;0,286079183;0,203065134
aslevia;Retuiteador;9;0,780629139;2;1,894291755;0,851817043;0,037593985;3,733333333;0,069862155;0,228696742;1,096491228
mgarorc;Monologista;2;0,772151899;1;0,243902439;0,5;0,085365854;1,64;0,256097561;0,219512195;1,048780488
