Id,Label,timeset,net,relation,num_followers,num_following,num_list,num_statuses,join_date varchar,componentnumber,modularity_class,indegree,outdegree,degree
416,chtajo,,dalvarez37,1408835183260864521,3,2,3,2,2012-10-10 11:59:20,0,0,32,45,77
417,ICManchester,,dalvarez37,1408835183260864521,3,3,3,1,2012-10-03 11:56:09,0,3,60,103,163
418,IC_Casablanca,,dalvarez37,1408835183260864521,3,2,3,1,2012-09-21 11:25:10,0,3,63,76,139
419,RPDiscapacidad,,dalvarez37,1408835183260864521,4,2,3,2,2012-09-19 18:09:19,0,0,22,30,52
420,ICTunez,,dalvarez37,1408835183260864521,3,2,3,1,2012-09-12 10:47:44,0,3,63,54,117
421,CHGuadalquivir,,dalvarez37,1408835183260864521,3,2,4,2,2012-09-12 09:36:17,0,0,27,40,67
422,CH_Ebro,,dalvarez37,1408835183260864521,3,2,4,2,2012-09-11 10:34:19,0,0,43,36,79
423,IGeociencias,,dalvarez37,1408835183260864521,4,3,4,2,2012-09-10 12:27:05,0,1,85,87,172
424,GEO3BCN_CSIC,,dalvarez37,1408835183260864521,3,3,3,2,2012-08-29 09:12:50,0,1,66,105,171
425,AEMET_SINOBAS,,dalvarez37,1408835183260864521,4,2,5,2,2012-08-15 21:09:34,0,0,39,35,74
426,CRAGENOMICA,,dalvarez37,1408835183260864521,3,2,3,1,2012-08-03 07:20:35,0,1,50,54,104
427,InstitutoCajal,,dalvarez37,1408835183260864521,3,2,3,1,2012-07-26 06:12:32,0,1,53,15,68
428,DGobiernoCV,,dalvarez37,1408835183260864521,3,2,4,2,2012-07-12 08:59:27,0,0,62,129,191
429,OEPM_es,,dalvarez37,1408835183260864521,3,2,4,2,2012-07-10 07:18:18,0,0,45,81,126
430,IHSM_CSIC_UMA,,dalvarez37,1408835183260864521,3,2,3,1,2012-07-04 07:18:07,0,1,43,64,107
