close,date
1041632146023079936,Mon Sep 17 10:17:10 +0000 2018
943181887555690496,Tue Dec 19 18:11:00 +0000 2017
1042795860,Fri Dec 28 18:07:33 +0000 2012
1007323187330342912,Thu Jun 14 18:05:37 +0000 2018
476011253,Fri Jan 27 17:36:50 +0000 2012
1149492833700610048,Fri Jul 12 01:37:02 +0000 2019
842572054243229696,Fri Mar 17 03:03:26 +0000 2017
540146855,Thu Mar 29 17:34:48 +0000 2012
2949584087,Mon Dec 29 17:04:54 +0000 2014
1039981070446419968,Wed Sep 12 20:56:23 +0000 2018
21956411,Thu Feb 26 02:05:39 +0000 2009
174801724,Wed Aug 04 21:28:02 +0000 2010
1228179426,Thu Feb 28 19:10:40 +0000 2013
18488699,Tue Dec 30 21:09:16 +0000 2008
952952310870806528,Mon Jan 15 17:15:10 +0000 2018
1171263924798443521,Tue Sep 10 03:27:56 +0000 2019
75113011,Thu Sep 17 20:56:24 +0000 2009
1126055031122296834,Wed May 08 09:23:35 +0000 2019
1000249528820404224,Sat May 26 05:37:26 +0000 2018
1006472812725448704,Tue Jun 12 09:46:32 +0000 2018
1113179936418873348,Tue Apr 02 20:42:33 +0000 2019
1172987400160718850,Sat Sep 14 21:36:28 +0000 2019
1171816253578760192,Wed Sep 11 16:02:32 +0000 2019
14640553,Sat May 03 19:02:41 +0000 2008
2830372701,Tue Oct 14 20:56:14 +0000 2014
1139617395985801226,Fri Jun 14 19:35:35 +0000 2019
1150731292570542081,Mon Jul 15 11:38:14 +0000 2019
1097483520254054402,Mon Feb 18 13:10:36 +0000 2019
722510290856742912,Tue Apr 19 19:40:51 +0000 2016
784143624518963204,Thu Oct 06 21:29:43 +0000 2016
154229481,Thu Jun 10 18:20:12 +0000 2010
292020653,Tue May 03 00:09:40 +0000 2011
124888980,Sat Mar 20 23:13:46 +0000 2010
1166207423104917504,Tue Aug 27 04:35:02 +0000 2019
80486438,Wed Oct 07 03:56:21 +0000 2009
291513078,Mon May 02 04:15:02 +0000 2011
5713842,Wed May 02 13:55:09 +0000 2007
324087035,Sun Jun 26 00:07:43 +0000 2011
