Advertiser Name,Funding Entity,Creative,Start date,End Date,Provincia,Targeted Segments,Excluded Targeting Segments,Impressions,Reach,Facts And Circumstances Of Removal,Enforcement Action,Statement Of Reason
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1699761939994570986,2023-09-07T00:00:00Z,2023-09-08T00:00:00Z,N/A,"Spain","",105169,89230,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1755614966931964047,2024-02-08T00:00:00Z,2024-02-09T00:00:00Z,N/A,"Spain","",520012,273091,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1740643822579683686,2023-12-29T00:00:00Z,2023-12-31T00:00:00Z,N/A,"Spain","",836221,658070,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1747582034774462670,2024-01-17T00:00:00Z,2024-01-18T00:00:00Z,N/A,"Spain","",32255,32479,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1713864867084419232,2023-10-16T00:00:00Z,2023-10-17T00:00:00Z,N/A,"halloween,Spain","",306332,276049,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1736665100285522178,2023-12-18T00:00:00Z,2023-12-19T00:00:00Z,N/A,"Spain","",807634,638455,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1753100626391920774,2024-02-02T00:00:00Z,2024-02-09T00:00:00Z,Barcelona,"Torelló, ES,Vic, ES,Manlleu, ES,Tona, ES,Sant Vicenç de Torelló, ES,Taradell, ES,Sant Pere de Torelló, ES,Folgueroles, ES,Olost, ES","",28740,7238,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1754829793479074249,2024-02-06T00:00:00Z,2024-02-08T00:00:00Z,N/A,"Spain","",523426,321199,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1727650703210860835,2023-11-23T00:00:00Z,2023-11-24T00:00:00Z,N/A,"Spain","",380990,344178,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1734853161490210873,2023-12-13T00:00:00Z,2023-12-14T00:00:00Z,N/A,"Spain","",347213,317267,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1699701539668156825,2023-09-07T00:00:00Z,2023-09-08T00:00:00Z,N/A,"Spain","",116653,94038,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1754440979967262914,2024-02-05T00:00:00Z,2024-02-06T00:00:00Z,N/A,"Spain","",1319154,581143,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1757386691445166511,N/A,N/A,Gerona,"Palamós, ES,Girona / Gerona, ES,Tossa de Mar, ES,Cassà de la Selva, ES,Calonge, ES,Llagostera, ES,Palafrugell, ES,Castell-Platja d'Aro, ES,Celrà, ES,la Bisbal d'Empordà / La Bisbal d'Empordà, ES,L'Escala / Escala, ES,Sant Feliu de Guíxols, ES","",66855,24757,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1714589642912350616,2023-10-18T00:00:00Z,2023-10-19T00:00:00Z,N/A,"Spain","",489682,413809,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1726522146774519916,2023-11-20T00:00:00Z,2023-11-22T00:00:00Z,Barcelona,"08207 / Sabadell, ES,08226 / Terrassa, ES,08203 / Sabadell, ES,08184 / Palau-solità i Plegamans, ES,08191 / Rubí, ES,08223 / Terrassa, ES,08198 / Sant Cugat del Vallès, ES,08225 / Terrassa, ES,08214 / Badia del Vallès, ES,08173 / Sant Cugat del Vallès, ES,08291 / Ripollet, ES,08233 / Vacarisses, ES,08290 / Cerdanyola del Vallès, ES,08110 / Montcada i Reixac, ES,08192 / Sant Quirze del Vallès, ES,08204 / Sabadell, ES,08231 / Ullastrell, ES,08201 / Sabadell, ES,08224 / Terrassa, ES,08202 / Sabadell, ES,08146 / Gallifa, ES,08196 / Sant Cugat del Vallès, ES,08205 / Sabadell, ES,08210 / Barberà del Vallès, ES,08181 / Sentmenat, ES,08213 / Polinyà, ES,08228 / Terrassa, ES,08221 / Terrassa, ES,08755 / Castellbisbal, ES,08195 / Sant Cugat del Vallès, ES,08211 / Castellar del Vallès, ES,08222 / Terrassa, ES,08193 / Cerdanyola del Vallès, ES,08206 / Sabadell, ES,08130 / Santa Perpètua de Mogoda, ES,08232 / Viladecavalls, ES,08230 / Matadepera, ES,08227 / Terrassa, ES,08197 / Sant Cugat del Vallès, ES,08172 / Sant Cugat del Vallès, ES,08174 / Sant Cugat del Vallès, ES,08212 / Sant Llorenç Savall, ES,08208 / Sabadell, ES,08299 / Rellinars, ES","",84702,40341,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1730143503689117909,2023-11-30T00:00:00Z,2023-11-30T00:00:00Z,Sevilla,"41003 / Sevilla, ES,41018 / Sevilla, ES,41005 / Sevilla, ES,41007 / Sevilla, ES","",-,-,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1706617107411296722,2023-09-26T00:00:00Z,2023-09-27T00:00:00Z,N/A,"Spain","",234301,207443,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1736795892038893746,2023-12-19T00:00:00Z,2023-12-21T00:00:00Z,Barcelona,"Cataluña / Catalonia, ES","",171023,148956,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1746811962095505631,2024-01-15T00:00:00Z,2024-01-16T00:00:00Z,N/A,"Spain","",211310,213364,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1734898462599086388,2023-12-13T00:00:00Z,2023-12-14T00:00:00Z,N/A,"Spain","",163902,152850,N/A,N/A,N/A
